id,name,day,starttime,endtime,timezone,url,organiser,abstract,discordurl
VHCIE,Workshop on Virtual Humans and Crowds in Immersive Environments (VHCIE),"Sunday, March 13",8:00,11:00,NZDT UTC+13,https://files.inria.fr/vhcie/2022,Anne-H&eacute;l&egrave;ne Olivier,"Nowadays many tools, including algorithms and systems, are available to create and design believable virtual humans and crowds in immersive virtual environments (IVEs). One traditional research area is thereby the population of IVEs. With sophisticated crowd simulations, environments with the size of an entire city can be efficiently enlivened with thousands of authentic virtual characters, termed virtual agents. Typically, these agents only react to VR users in terms of interactions between walkers, including collision avoidance, gazing, and interpersonal distance constraints. To this end, a second research area focuses on direct agent-user interactions including communicative abilities and social behavior to design believable verbal and non-verbal behavior for agents in face-to-face interactions. Research on both facets has been presented and discussed in the previous VHCIE editions, primarily from the viewpoint of VR research. Thus, VHCIE 2022 widens the focus by starting a cross-community exchange with researchers from industry and other disciplines involved in modeling, developing, and evaluating virtual humans and crowds. </p><p>The objective of VHCIE workshop on &quot;Virtual Humans and Crowds in Immersive Environments&quot; is then threefold. Through a panel and a selection of submitted presentations (short papers and late breaking research), we will: <ol><li> Present state of the art character and crowd animation techniques for interactive agents. Recent developments in character and crowd animations have impressively improved the level of quality for motions, as well as computational performances. One objective of the workshop is to present how VR and immersive environments can benefit from these recent developments.</li><li>Present some examples of new research opportunities offered by the availability of populated virtual environments. Populating VEs with several autonomous characters is a relatively recent advancement. What research can benefit from such capability? We expect presentations related to how recent technological advances enable or facilitate such research. </li><li>Discuss technological requirements for future applications. Recent technologies and software have clearly eased the creation of populated immersive VEs. However, there is still a way for improvement. Thus, the third objective of theworkshop is to gather the requirements of current users of these technologies for future applications. To this end, our audience and an invited cross-community panel from different research areas (VR, IVA, ..) as well as industry will try to answer questions such as: Do users expect better animation quality? Better rendering? Or, higher level of autonomy? What kind of interactivity is expected with autonomous agents?</li></ol>Finally, we expect that the workshop will provide an opportunity for researchers to develop new techniques for virtual humans and crowds and will possibly lead to new intersectoral collaborations.",https://discord.com/channels/842181663248482334/951011444466528288
SIWI,Metaverse as a promise of a bright future? social interactions in a world of isolation,"Sunday, March 13",8:00,11:00,NZDT UTC+13,https://workshop.htt.events/,Anna Mierzecka,"The Metaverse is before us. Extended Reality, which has so far been on the periphery of life, has a chance of becoming an element of everyday life. The arrival of such a world has been accelerated, on the one hand, by technological development and the readiness of IT corporations to invest in VR/XR technology, and on the other hand, by a pandemic that prompted us to look for alternative ways to exist in isolation.</p><p>This situation forces us to face completely new challenges. We must find ways to define ourselves in the virtual world in various dimensions, including establishing social relationships or creating our own identity. We invite you to our online workshop - a space for reflection on issues of social functioning in the world of the Metaverse. The event has been designed to allow participants to interact in three autonomous forms: lectures combined with Q&A sessions, an experiment involving participant observation in the VR environment, and thematic discussion sessions.",https://discord.com/channels/842181663248482334/951011595889283102
XRHealth,XR for Healthcare and Wellbeing,"Sunday, March 13",8:00,11:00,NZDT UTC+13,https://sites.google.com/view/xrhealth/,Craig Anslow,"The XR for Health and Wellbeing Workshop will take place during IEEE VR 2022 (Christchurch, NZ online virtual) focusing on XR (AR/VR/MR) technologies to help in the broad areas of interest related to healthcare and wellbeing. XR technologies have been experimented with in many areas of healthcare and well being over the years. With the ubiquitous use of XR devices creates a great opportunity to further XR research to help support healthcare professionals and the wellbeing of people. XR has demonstrated many advantages to various healthcare and wellbeing areas, however, more research is required. We aim to gather the intersection of researchers working in the areas of XR for healthcare and wellbeing from the HCI community to come together to share their ideas and discuss possible future grand challenges. We solicit short paper submissions with lightning talks at the workshop. We will have a break-out session to discuss the topics of the workshop in more depth. We will have two invited talks, one from academia and one from industry.",https://discord.com/channels/842181663248482334/951011669566431322
WEVR,8<sup>th</sup> Workshop on Everyday Virtual Reality,"Sunday, March 13",11:00,14:00,NZDT UTC+13,https://wevr.adalsimeone.me/,Adalberto Simeone,"WEVR aims at fostering discussion and bringing advance understanding on challenges and opportunities for &quot;Everyday&quot; Virtual, Augmented and Mixed Reality topics in contexts and scenarios going beyond research laboratories and specialist environments. Bringing together experts with diverse background, i.e. researchers, technicians, engineers, game developers, industry partners, we hope to a new perspectives look and re-thinking on the following specified themes:<ul><li>Gameplay Design and Player Interaction in consumer VR/AR</li><li>Overcoming constraints of ordinary environments (e.g. locomotion techniques, object avoidance)</li><li>Tangible and haptics support to interaction with the environment</li><li>Co-located and Remote Social & Collaborative VR/AR and related challenges</li><li>Cross-reality intersection (e.g., immersed, non/semi-immersed users)</li><li>3D User Interfaces for Desktop or semi-immersive VR</li><li>VR/AR for home healthcare and education</li><li>Effects of prolonged VR use in domestic settings</li><li>VR/AR development for non-technical creators</li><li>New trends of VR applications</li></ul>",https://discord.com/channels/842181663248482334/951011744392810527
PERCxR,8<sup>th</sup> Workshop on Perceptual and Cognitive Issues in XR (PERCxR),"Sunday, March 13",11:00,14:00,NZDT UTC+13,https://percxr.com/,Rick Skarbez,"The crux of this workshop is the creation of a better understanding of the various perceptual and cognitive issues that inform and constrain the design of effective extended reality systems.  There is neither an in-depth overview of these factors, nor well-founded knowledge on most effects as gained through formal validation. In particular, long-term usage effects are inadequately understood. Meanwhile, mobile platforms and emerging display hardware (&quot;glasses&quot;) promise to ignite the number of users, as well as the system usage duration. To fulfill usability needs, a thorough understanding of perceptual and intertwined cognitive factors is highly needed by both research and industry: issues such as depth misinterpretation, object relationship mismatches and information overload can severely limit usability of applications, or even pose risks in their usage. Based on the gained knowledge, for example, new interactive visualization and view management techniques can be iteratively defined, developed and validated, optimized to be congruent with human capabilities and limitations in route to more usable application interfaces.",https://discord.com/channels/842181663248482334/951011850731024385
HSVRAR,Health and Safety in VR and AR,"Sunday, March 13",11:00,14:00,NZDT UTC+13,http://empathiccomputing.org/ecl-workshops/workshop-on-health-and-safety-vrar/,Mark Billinghurst,"The goal of this workshop is to identify potential health and safety challenges associated with using AR and VR systems, and research that should be conducted to address these concerns.",https://discord.com/channels/842181663248482334/951011956507152445
NIDIT,Workshop on Novel Input Devices and Interaction Techniques (NIDIT),"Sunday, March 13",11:00,14:00,NZDT UTC+13,https://sites.google.com/view/nidit,Francisco R. Ortega,"This full-day workshop will bring together researchers and industry practitioners to discuss and experience the future of input devices for VR, AR, and 3D User Interfaces, and help chart a course for the future of 3D interaction techniques.",https://discord.com/channels/842181663248482334/951012057279496242
X-IRL,X-IRL risks: Identifying privacy and security risks in inter-reality attacks and interactions  ,"Sunday, March 13",14:00,15:00,NZDT UTC+13,https://x-irl-risks.uqcloud.net/,Moya Kate Baldry,"This workshop extrapolates how virtual interactions and data trails may generate IRL (in real-life) consequences. Participation in the metaverse and other XR technologies and spaces (AR and MR) may lead to new surface attacks and vectors, the emergence of new adversaries and threat scenarios, and a heightened need for regulatory action, organisational defences, and user-specific security tools. The goal of this workshop is to illuminate the potential inter-reality risks generated between real and virtual worlds. It aims to gather insight from researchers and industry leaders in the digital-to-XR and privacy and security communities in a collaborative and thought-provoking examination of the expanding cybersecurity terrain. The one-hour workshop will be held online presenting a moderated discussion and question time.",https://discord.com/channels/842181663248482334/951012141153022002
METABUILD,METABUILD: First Workshop for Building the Foundations of the Metaverse,"Sunday, March 13",14:00,17:00,NZDT UTC+13,https://metabuild-workshop.herokuapp.com/,Pan Hui,"The goal of this workshop is to discuss the issues related to building the metaverse under two directions: (1) technological and engineering aspects allowing to develop the metaverse's ecosystems, and (2) content creation for and in the metaverse to provide ownership to users. These two goals are interconnected as technology should support content creation, while content creation should happen with respect of the technological advances. In more details, we target:<ol><li>Engineering the metaverse. This workshop aims to discuss the engineering aspects of the metaverse, from the supporting technologies (Mixed Reality, computer vision, IoT and robotics, Blockchain, User Interaction, Future Networking Technologies, Cloud and Edge Computing, Artificial Intelligence), the building bricks of the metaverse ecosystem (avatar and presence, virtual economy, content creation, social acceptability, privacy and ethics), and applications (games, digital commerce, remote work and study, remote training).</li><li>Content creation in and for the metaverse. With the vision of building the metaverse, numerous users, represented by their avatars, can create valuable contents in highly diversified virtual worlds. In particular, users can participate in creating elements to enrich the metaverse, including but not limited to cinematic, imagery, textual, musical, elements. Such an enriched profile of content creation refers to 'metacreation'. Supporting such key activities of user content creation in the metaverse are crucial for the development of the metaverse. </li></ol>",https://discord.com/channels/842181663248482334/951012221977264188
KELVAR,7<sup>th</sup> Annual Workshop on K-12+ Embodied Learning through Virtual and Augmented Reality (KELVAR),"Sunday, March 13",14:00,17:00,NZDT UTC+13,https://sites.google.com/site/vrkelvar/,Erica Southgate,"In this workshop we aim to bring together educators, developers and researchers who are interested in creating and deploying XR technologies for the educational contexts of the future. The workshop will enable participants to discuss and engage with different approaches for designing and integrating XR technologies with a specific focus on the challenges and potential for embodied learning in the classroom for K-12, vocational and higher education.",https://discord.com/channels/842181663248482334/951012340416008242
