id,type,title,authors,abstract,url,location,booth,group
PO1020,Demo,NUX IVE - a research tool for comparing voice user interface and graphical user interface in VR,"Karolina Buchta, Piotr W&oacute;jcik, Mateusz Pelc, Agnieszka G&oacute;rowska, Duarte Mota, Kostiantyn Boichenko, Konrad Nakonieczny, Krzysztof Wrona, Marta Szymczyk, Tymoteusz Czuchnowski, Justyna Janicka, Damian Ga?uszka, Rados?aw Sterna, Magdalena Igras-Cybulska","We introduce a new IVE designed to compare user interaction between the mode with traditional graphical user interface (GUI) with the mode in which every element of interface is replaced by voice user interface (VUI). In each version, 4 scenarios of interaction with a virtual assistant in a sci-fi location are implemented, each of them lasting several minutes. The IVE is supplemented with tools for automatic generating reports on user behavior (clicktracking, audiotracking and eyetracking).",https://www.youtube.com/watch?v=vgwrknpn5tY,,,
PO1021,Demo,Feeding the fish: Interaction design to support listening to accounts of marginalization,"Dylan Par&eacute;, John Craig, Scout Windsor",We present a study using a virtual reality experience designed to deepen understanding of gender and sexuality-based marginalization in STEM fields as complex experiences with individual and systemic dimensions. Our design supports learners to remain engaged in listening to and learning about the marginalized other. Our analysis describes how participants reflect upon and use the interactions to move through the difficulties of listening to another's stories of marginalization.,https://youtu.be/orsG09QrLbs,,,
PO1022,Demo,Intelligence Visualization for Wave Energy Power Generation,"Xiaocheng Liu, Yuqi Liu, Jinkang Guo, Ranran Lou, Zhihan Lv","Ocean waves provide a large amount of renewable energy, and Wave energy converter (WEC) can convert wave energy into electric energy with the linear motion of waves. This paper proposes a visualization platform for wave power generation. The platform can intelligently allocate power generation equipment based on the power generation forecast data to achieve precise matching of power generation and power consumption, thereby improving overall power generation efficiency.",https://youtu.be/5Zs8tyV4MyM,,,
PO1024,Demo,Liquid digital twins based on magnetic fluid toy,"Yuqi Liu, Zengxu Bian, Xiaocheng Liu, Zhihan Lv","As a new type of functional material,magnetic fluid has both the fluidity of liquid and the magnetic properties of solid magnetic material. By controlling the magnets,one can simulate the effect of manipulating liquids like a sea emperor.This will provide new ideas for the multiverse of the metaverse. Therefore,this paper hopes to provide a control idea for the future application of magnetic fluid by performing Digital Twins simulation of magnetic fluid.",,,,
C1012,Poster,Effects of Clutching Mechanism on Remote Object Manipulation Tasks,Zihan Gao: Harbin Engineering University&#59; Huiqiang Wang: Harbin Engineering University&#59; Anqi Ge: Harbin Medical University&#59; Hongwu Lv: Harbin Engineering University&#59; Guangsheng Feng: Harbin Engineering University,"Remote object manipulation in practice is often an iterative process that needs clutching. However, while many interaction techniques have been designed for manipulating remote objects, clutching mechanism is often an important but overlooked aspect in manipulation tasks. In this paper, we evaluate the effects of clutching mechanism on remote object manipulation tasks, which compares two clutching mechanisms under various tasks settings. The results suggested that an efficient clutching mechanism can effectively improve the usability in remote object manipulation tasks.",https://youtu.be/coWStqGOQG0,Expo Hall C,B11,C
C1015,Poster,A Testbed for Exploring Multi-Level Precueing in Augmented Reality,Jen-Shuo Liu: Columbia University&#59; Barbara Tversky: Columbia Teachers College&#59; Steven Feiner: Columbia University,"Precueing information about upcoming subtasks prior to performing them has the potential to make an entire task faster and easier to accomplish than cueing only the current subtask. Most AR and VR research on precueing has addressed path-following tasks requiring simple actions at a series of locations, such as pushing a button or just visiting that location. We present a testbed for exploring multi-level precueing in a richer task that requires the user to move their hand between specified locations, transporting an object between some of them, and rotating it to a designated orientation.",https://youtu.be/iC-sHV8GEJY,Expo Hall C,B12,C
C1021,Poster,"Resolution Tradeoff in Gameplay Experience, Performance, and Simulator Sickness in Virtual Reality Games",Jialin Wang: Xi'an Jiaotong-liverpool University&#59; Rongkai Shi: Xi'an Jiaotong-Liverpool University&#59; Zehui Xiao: Xi'an Jiaotong-Liverpool University&#59; Xueying Qin: Shandong University&#59; Hai-Ning Liang: Xi'an Jiaotong-Liverpool University,"Higher resolution is one of the main directions and drivers in the development of Virtual Reality (VR) Head-Mounted Displays (HMDs). However, given their associated higher cost, it is unclear the benefits of having higher resolution on user experience, especially in VR games. This research aims to investigate the effects of resolution in gameplay experience and simulator sickness for VR games. To this end, we designed an experiment to collect gameplay experience, simulator sickness (SS), and player performance data with a VR First-Person Shooter game. Our results indicate that 2K resolution is an important threshold for an enhanced gameplay experience without affecting performance and increasing SS levels.",https://youtu.be/lLPIOWe4mDw,Expo Hall C,B13,C
C1023,Poster,Taming Cyclops: Mixed Reality Head-Mounted Displays as Laser Safety Goggles for Advanced Optics Laboratories,Ke Li: Deutsches Elektronen-Synchrotron (DESY)&#59; Aradhana Choudhuri: Deutsches Elektronen Synchrotron&#59; Susanne Schmidt: Universit&auml;t Hamburg&#59; Reinhard Bacher: Deutsches Elektronen Synchrotron DESY&#59; Ingmar Hartl: Deutsches Elektronen Synchrotron&#59; Wim Leemans: Deutsches Elektronen Synchrotron&#59; Frank Steinicke: Universit&auml;t Hamburg,"In this poster paper, we present a mixed reality application for laser eye protection based on a video see-through head-mounted display. With our setup, laser lab users perceive the real environment through the head-mounted display, using it as a substitute for laser safety goggles required by health and safety regulations. We designed and evaluated our prototype with a human-centered computing approach at the Deutsches Elektronen-Synchrotron where there exists some of the most advanced and extreme optics laboratory working conditions. We demonstrated that virtual reality headsets can be an attractive future alternative to conventional laser safety goggles.",https://youtu.be/wv7lltZVv30,Expo Hall B,B14,B
C1028,Poster,VCoach: Enabling Personalized Boxing Training in Virtual Reality,Hao Chen: Beijing Institute of Technology&#59; Yujia Wang: Beijing Institute of Technology&#59; Wei Liang: Beijing Institute of Technology,"We propose a training system in virtual reality, VCoach, automatically generating interactive and personalized boxing training drills for individual trainees. The training drill is generated in real-time based on the trainee's updated performance, including the evaluation of punch speed, reaction time, and punch pose through wearable VR devices. The training drill is visualized as a sequence of target points on a virtual heavy bag and the corresponding punch motion, as well as the performance feedback. Our experiments show that VCoach can generate personalized training drills to help trainees improve skills efficiently.",https://youtu.be/bVH0yf5FKUw,Expo Hall C,B14,C
C1031,Poster,Control with Vergence Eye Movement in Augmented Reality See-Through Vision,Zhimin Wang: Beihang University&#59; Yuxin Zhao: School of Computer Science and Engineering&#59; Feng Lu: Beihang University,"Augmented Reality (AR) see-through vision enables the user to see through a wall and view the occluded objects. Most existing works only used common modalities to control the display for see-through vision, e.g., button clicking and speech. However, we use visual system to watch see-through vision. Using an addition interaction channel will distract the user and degrade the user experience. In this paper, we propose a novel interaction method using vergence eye movement for controlling see-through vision in AR. Specifically, we first customize eye cameras and design gaze depth estimation method for Microsoft HoloLens 2. With our algorithm, fixation depth can be computed from the vergence, and used to manage the see-through vision.",https://www.youtube.com/watch?v=Eycv9iuvfwg,Expo Hall C,B21,C
C1033,Poster,Semi-Analytical Surface Tension Model for Free Surface Flows,"Nurshat Menglik: Peking University&#59; Hebin Yao: Kuaishou Technology&#59; Yi Zheng: Kuaishou Technology&#59; Jian Shi: Institute of Automation, Chinese Academy of Sciences&#59; Ying Qiao: Institute of Software, Chinese Academy of Sciences&#59; Xiaowei He: Institute of Software, Chinese Academy of Sciences","In this paper, a semi-analytical surface tension model is proposed for smoothed particle hydrodynamics (SPH). Different from previous approaches, cohesive and adhesive forces in our model are unified within a surface energy framework for nonuniform systems. To calculate the adhesive force, we use a semi-analytical solution to convert the volume integral into a surface integral, triangular meshes which represent solid boundaries can be directly introduced into liquid-solid interactions. A gradient descent algorithm is employed to optimize the objective function, which represents the total energy of the fluid. Experiments show that our model can efficiently handle complex solid boundaries with surface-tension-driven phenomena.",https://youtu.be/AeY0b5mlLtk,Expo Hall C,B22,C
C1034,Poster,Deformable torso anatomy education with three-dimensional autostereoscopic visualization and free-hand interaction,Nan Zhang: Tsinghua University&#59; Hongkai Wang: Dalian University of Technology&#59; Tianqi Huang: Tsinghua University&#59; Xinran Zhang: Tsinghua University&#59; Hongen Liao: Tsinghua University,"Virtual reality/augmented reality has advantages in immersive learning and conveying meta-information in anatomy education. In this study, we present an interactive naked-eye 3D torso anatomy education environment based on population anatomical information. In particular, we utilize the deformable anatomy models, constructed from big data of healthy adults, to convey the anatomy knowledge of truthfulness organ shapes and population anatomical variances. In addition, the proposed anatomy education system is conveyed by free-hand 3D autostereoscopic visualization, which supports multi-user and glass-free. A user study with fourteen students was implemented and demonstrates that the system is appropriate and useful for torso anatomy education.",https://youtu.be/zgVVK7eBjh4,Expo Hall C,B28,C
C1036,Poster,Absence Agents: Mitigating Interruptions in Extended Reality Remote Collaboration,"Huyen Nguyen: Universit&eacute; Paris-Saclay, CNRS, LISN, VENISE team&#59; Thomas Bruhn: Universit&eacute; Paris-Saclay, CNRS, LISN, VENISE team&#59; Christian Sandor: Universit&eacute; Paris-Saclay, CNRS, LISN, VENISE team&#59; Patrick Bourdot: Universit&eacute; Paris-Saclay, CNRS, LIMSI, VENISE team","Although dealing with interruptions in remote collaboration has been studied in general, few works have done this for Extended Reality (XR) collaboration. With the current explosion of interest in XR collaboration, we explore the negative impacts of interruptions in synchronous distributed XR environments and propose a novel concept for dealing with them: Absence Agents. We present their requirements analysis, design, and a prototype implementation. We believe that our concept and design of Absence Agents are important for practitioners and researchers alike, as they highlight avenues for future research.",https://youtu.be/m80kWoJKXdg,Expo Hall B,B13,B
C1043,Poster,Group WiM: A Group Navigation Technique for Collaborative Virtual Reality Environments,Vuthea Chheang: University of Magdeburg&#59; Florian Heinrich: University of Magdeburg&#59; Fabian Joeres: University of Magdeburg&#59; Patrick Saalfeld: University of Magdeburg&#59; Bernhard Preim: University of Magdeburg&#59; Christian Hansen: University of Magdeburg,"In this work, we present a group World-in-Miniature (WiM) navigation technique that allows a guide to navigate a team in collaborative virtual reality (VR) environments. We evaluated the usability, discomfort, and user performance of the technique compared to state-of-the-art group teleportation in a user study. The results show that the proposed technique induces less discomfort for the guide and has slight usability advantages. The group WiM technique seems superior regarding task completion time for obstructed target destination. The group WiM technique provides potential benefits for effective group navigation in complex virtual environments and harder-to-reach target locations.",https://youtu.be/ZLbcZU4sQ7Y,Expo Hall B,B12,B
C1066,Poster,CV-Mora Based Lip Sync Facial Animations for Japanese Speech,Ryoto Kato: Tokyo Metropolitan University&#59; Yusuke Kikuchi: Tokyo Metroporitan Univercity&#59; Vibol Yem: Tokyo Metropolitan University&#59; Yasushi Ikei: The University of Tokyo,"To generate authentic real-time facial animations using face mesh data, which corresponds to fifty-six consonant and vowel (CV) types of morae that form the basis of Japanese speech, we propose a new method. Our method produces facial expressions by the weighted addition of fifty-three face meshes based on the real-time mapping of voice streaming to registered morae. In the user study, results showed that facial expressions produced during Japanese speech were more natural using our method than those using popular methods to generate real-time English-based Oculus lip sync and volume intensity-based facial animations.",https://youtu.be/HB52DVsXrkg,Expo Hall A,B11,A
C1072,Poster,Impact of Parameter Disentanglement on Collaborative Alignment,Tianyu Song: Technical University of Munich&#59; Alejandro Martin-Gomez: Technical University of Munich&#59; Qiaochu Wang: City University of Hong Kong&#59; Arian Mehrfard: Technical University of Munich&#59; Javad Fotouhi: Philips Research North America&#59; Daniel Roth: Human-Centered Computing and Extended Reality&#59; Ulrich Eck: Technische Universitaet Muenchen&#59; Nassir Navab: Technische Universit&auml;t M&uuml;nchen,"The interactive alignment of real and virtual content in AR is often non-trivial. Positional errors along the user's view direction frequently lead to the misjudgment of the object's depth. This work takes advantage of alternative users' viewpoints in collaborative settings to mitigate these errors. Furthermore, we systematically restrict the parameters used to control the virtual content's pose and investigate the impact of sharing and disentangling such parameters. Results from this work show that alignment schemes that disentangle the control parameters improve overall alignment accuracy with a similar workload for the users and no significant increase in execution time.",https://youtu.be/eulUFXdOrD0,Expo Hall B,B11,B
C1088,Poster,Gaze Capture based Considerate Behaviour Control of Virtual Guiding Agent,Pinjung Chen: Tokyo Institute of Technology&#59; Hironori Mitake: Tokyo Institute of Technology&#59; Shoichi Hasegawa: Tokyo Institute of Technology,"Agents in VR have wide application like guidance. Most current agents are passive, so that people should suspend their current tasks and request agents with explicit demand. It is necessary to make agent more actively open the interaction naturally but without being bothering.
We propose a virtual guidance agent which provide voice explanation in appropriate timing, using gaze tracking, attention amount estimation and attention driven state machine. We used time-decayed moving average of angle between gaze direction and face front direction.
We implemented the method in VR and evaluated effectiveness in virtual guiding tour experimentally.",https://www.youtube.com/watch?v=h4-93eQURWM,Expo Hall A,B12,A
C1091,Poster,Perceptions of Colour Pickers and Companions in Virtual Reality Art-Making,Marylyn Alex: University of Auckland&#59; Burkhard Wuensche: University of Auckland&#59; Danielle Lottridge: University of Auckland,"Virtual reality art is reshaping digital art experiences but may elicit different first impressions across disparate age groups. We investigate first impressions of VR colour pickers and the impact of a virtual companion via an online survey with 63 adults and 24 older adults. The colour pickers differed significantly in perceived hedonic qualities. We found no statistical differences between perceptions of adults and older adults. The virtual companion had no significant effect on participants' overall experiences. However, we found statistical trends where older adults rated the virtual companion higher in terms of companionship and making VR art more engaging.",https://youtu.be/RPcqwawFn60,Expo Hall A,B13,A
C1094,Poster,Light VR Client for Point Cloud Navigation with 360&deg; Images,Cl&eacute;ment Dluzniewski: CEA-List&#59; J&eacute;r&eacute;mie Le Garrec: CEA-List&#59; claude ca andriot: CEA-List&#59; Fr&eacute;d&eacute;ric No&euml;l: Grenoble-INP,"Since point clouds require a large amount of data to be visually pleasing, they tend to be voluminous. Hence, hardware with limited computational and memory capabilities may not be able to handle such large data structures. Here, we propose a light VR client to explore a static point cloud, stored in a remote server, through 360&deg; images. The client visualizes in an HMD the omnidirectional rendering of the point cloud and moves to another position with a teleportation metaphor. The main advantage of our proposition is the ability to work on modest hardware without a continuous high bandwidth.",https://www.youtube.com/watch?v=DCQTostPJV0,Expo Hall B,B21,B
C1099,Poster,Vibrating tilt platform enhancing immersive experience in VR,Dorota Kami&nacute;ska: Lodz University of Technology&#59; Grzegorz Zwoli&nacute;ski: Lodz University of Technology&#59; Anna Barbara Laska-Le&sacute;niewicz: Lodz University of Technology&#59; &#x141;ukasz Adamek: Institute of Mechatronics and Information Systems,"Virtual reality systems, since their initial development, suffered some disadvantages. One of them was the fact that they had only visual interfaces. This limitation, however, has been successfully overcome with the development of haptic technology. Peripheral solutions reinforcing and enriching VR experience are now commonplace, and many haptic systems are being developed for deepening VR immersion. This paper discusses a new peripheral solution - a vibrating tilt platform with three angles of inclination to be used for enhancing the VR experience.",https://www.youtube.com/watch?v=JMPiNTJlYBY,Expo Hall B,B22,B
C1103,Poster,Augmenting VR Ski Training using Time Distortion,Takashi Matsumoto: Tokyo Institute of Technology&#59; Erwin Wu: Tokyo Institute of Technology&#59; Hideki Koike: Tokyo Institute of Technology,"Virtual reality-based sports simulators are widely developed, which makes training in a virtual environment possible. On the other hand, methods using temporal features are also introduced to realize an adaptive training. In this paper, we study the effect of time distortion on alpine ski training to find out how modifying the temporal space can affect sports training. Experiments are conducted to investigate how a fast/slow and a static/dynamic time distortion-based training, respectively, can impact the performance of users.",https://youtu.be/rUNxRoenp7o,Expo Hall A,B14,A
C1106,Poster,FusedAR: Adaptive Environment Lighting Reconstruction for Visually Coherent Mobile AR Rendering,Yiqin Zhao: Worcester Polytechnic Institute&#59; Tian Guo: Worcester Polytechnic Institute,"Obtaining accurate omnidirectional environment lighting for high quality rendering in mobile augmented reality is challenging due to the practical limitation of mobile devices and the inherent spatial variance of lighting. In this paper, we present a novel adaptive environment lighting reconstruction method called FusedAR, which is designed from the outset to consider mobile characteristics, e.g., by exploiting mobile user natural behaviors of pointing the camera sensors perpendicular to the observation-rendering direction. Our initial evaluation shows that FusedAR achieves better rendering effects compared to using a recent deep learning-based AR lighting estimation system and environment lighting captured by 360&deg; cameras.",https://youtu.be/WJNtbfDRaZE,Expo Hall C,B27,C
C1113,Poster,Enabling Virtual Reality Interactions in Confined Spaces by Re-Associating Finger Motions,"Wen-Jie Tseng: Institut Polytechnique de Paris&#59; Samuel Huron: T&eacute;l&eacute;com Paris, Institut Polytechnique de Paris&#59; Eric Lecolinet: Institut Polytechnique de Paris&#59; Jan Gugenheimer: Institut Polytechnique de Paris","As Virtual Reality (VR) headsets become mobile, people can interact in public places with applications often requiring large arm movements. However, using these open gestures is often uncomfortable and sometimes impossible in confined and public spaces (e.g., commuting in a vehicle). We introduce the concept of finger mapping, re-associating small-scale finger motions onto virtual arms in a larger VR space. Finger mapping supports various interactions (e.g., arms swinging movement, selection, manipulation, and locomotion) when the environment is constrained and does not allow large gestures. Finally, we discuss the opportunities and challenges of using finger mapping for VR interactions.",https://youtu.be/l2ugJVlk45w,Expo Hall B,B28,B
C1125,Poster,Understanding Shoulder Surfer Behavior Using Virtual Reality,Yasmeen Abdrabou: Bundeswehr University Munich&#59; Radiah Rivu: Bundeswehr University Munich&#59; Tarek Ammar: LMU Munich&#59; Jonathan Liebers: University of Duisburg-Essen&#59; Alia Saad: University of Duisburg-Essen&#59; Carina Liebers: University of Duisburg-Essen&#59; Uwe Gruenefeld: University of Duisburg-Essen&#59; Pascal Knierim: Bundeswehr University Munich&#59; Mohamed Khamis: University of Glasgow&#59; Ville M&auml;kel&auml;: University of Waterloo&#59; Stefan Schneegass: University of Duisburg-Essen&#59; Florian Alt: Bundeswehr University Munich,"We explore how attackers behave during shoulder surfing. Such behavior is difficult to study as it is often opportunistic and can occur wherever potential attackers can observe other people's private screens. Therefore, we investigate shoulder surfing using virtual reality (VR). We recruited 24 participants and observed their behavior in two virtual waiting scenarios: at a bus stop and in an open office space. In both scenarios, avatars interacted with private screens displaying different content, thus providing opportunities for shoulder surfing. From the results, we derive an understanding of factors influencing shoulder surfing behavior.",https://youtu.be/HHgy8bDRPXc,Expo Hall B,B27,B
C1127,Poster,Designing a Physiological Loop for the Adaptation of Virtual Human Characters in a Social VR Scenario,Francesco Chiossi: LMU Munich&#59; Robin Welsch: LMU Munich&#59; Steeven Villa: LMU Munich&#59; Lewis L Chuang: IfADo-Leibniz Institute for Working Environment and Human Factors&#59; Sven Mayer: LMU Munich,"Social virtual reality is getting mainstream not only for entertainment purposes but also for productivity and education. This makes the design of social VR scenarios functional to support the operator's performance. We present a physiologically-adaptive system that optimizes for visual complexity in a dual-task scenario based on electrodermal activity. Specifically, we propose a system that adapts the amount of non-player characters while jointly performing an N-Back task (primary) and visual detection task (secondary). Our preliminary results show that when optimizing the complexity of the secondary task, users report an improved user experience.",https://www.youtube.com/watch?v=OdQeaU5NvTM,Expo Hall C,B26,C
C1144,Poster,GestureExplorer: Immersive Visualisation and Exploration of Gesture Data,Ang Li: Monash University &#59; Jiazhou Liu: Monash University&#59; Maxime Cordeil: Monash University&#59; Barrett Ens: Monash University,"This paper presents GestureExplorer, which features versatile immersive visualisations to grant the user free control over their perspective, allowing them to gain a better understanding of gestures. It provides multiple data visualisation views, and interactive features to support analysis and exploration of gesture datasets. A pair of iterative user studies provides initial feedback from several participants, including experts on immersive visualisation, and demonstrates the potential of GestureExplorer for providing a useful and engaging experience for exploring gesture data.",https://youtu.be/_MynTaap_g8,Expo Hall C,B25,C
C1158,Poster,Multi Touch Smartphone Based Progressive Refinement VR Selection,Elaheh Samimi: Carleton University&#59; Robert J Teather: Carleton University,"We developed a progressive refinement technique for VR object selection using a smartphone as a controller. Our technique combines progressive refinement with the marking menu-based CountMarks, which uses multi-finger touch gestures to &quot;short-circuit&quot; multi-item marking menus. Users can indicate a specific item in a sub-menu by pressing a specific number of fingers on the screen while swiping in the desired menu's direction. This reduces the number of steps in progressive refinement selection.",https://www.youtube.com/watch?v=-NW0NGOMF28,Expo Hall C,B35,B
C1164,Poster,Investigating Display Position of a Head-Fixed Augmented Reality Notification for Dual-task,Hyunjin Lee: KAIST&#59; Woontack Woo: KAIST,"Providing additional information in the proper position of augmented reality (AR) head-mounted display (HMD) can help increase AR performance and usability for dual-task. Therefore, our study investigated how to place notifications for the dual-task to address this. We compared eight display positions and two tasks (single and dual tasks) to identify the appropriate area for displaying notifications. We confirmed that the middle-right reduces response time and task load. In contrast, the top-left is the location, which should avoid providing any notification in AR dual-task. Our study contributes to designing AR notifications on HMDs to enhance everyday AR experiences.",https://youtu.be/ALXzQpHXWt8,Expo Hall A,B35,A
C1175,Poster,Priority-Dependent Display of Notifications in the Peripheral Field of View of Smart Glasses,"Anja K. Faulhaber: University of Kassel&#59; Moritz Hoppe: Human-Machine Systems Engineering Group, University of Kassel&#59; Ludger Schmidt: University of Kassel","We propose a concept for displaying notifications in the peripheral field of view of smart glasses aiming to achieve a balance between perception and distraction depending on the priority of the notification. We designed three different visualizations for notifications of low, medium, and high priority. To evaluate this concept, we conducted a study with 24 participants who reacted to the notifications while performing a primary task. Reaction times for the low-priority notification were significantly higher. The medium- and high-priority notifications did not show a clear difference.",https://youtu.be/yqvPWwrtNm0,Expo Hall B,B26,B
C1179,Poster,Studying the User Adaptability to Hyperbolic Spaces and Delay Time Scenarios,"Ana Rita Rebelo: NOVA LINCS, NOVA School of Science and Technology&#59; Rui N&oacute;brega: Faculdade de Ci&ecirc;ncias e Tecnologia, Universidade Nova de Lisboa&#59; Fernando Birra: Nova School of Science and Technology","To create immersive virtual experiences, it is crucial to understand how users perceive Virtual Environments (VEs) and which interaction techniques are most appropriate for their tasks.
We created a tangible VE - the VR Lab - where it is possible to study space and time conditions to analyse the user's adaptability to different forms of interaction.
As a case study, we restricted the scope of the investigation to two morphing scenarios. The space morphing scenario compares the adaptability of users to Euclidean versus hyperbolic spaces. The time morphing scenario aims to establish from which values the visual delay affects performance.",https://youtu.be/tPqrSp3VBCU,Expo Hall B,B25,B
C1181,Poster,"Augmented Reality Fitts' Law Input Comparison Between Touchpad, Pointing Gesture, and Raycast",Domenick Mifsud: Colorado State University&#59; Adam Sinclair Williams: Colorado State University&#59; Robert J Teather: Carleton University&#59; Francisco Raul Ortega: Colorado State University,"With the goal of exploring the impact of transparency on selection in augmented reality (AR), we present a Fitts' law experiment with 18 participants, comparing three different input methods (finger based Pointing Gesture, controller using the Touchpad, and controller using Raycast), across 4 different target transparency levels (0&#37;, 30&#37;, 60&#37;, and 90&#37;) in an optical see-through AR head-mounted display. The results indicate that transparency has little effect on selection throughput and error rates. Overall, the Raycast input method performed significantly better than the pointing gesture and Touchpad inputs in terms of error rate and throughput in all opacity conditions.",https://www.youtube.com/watch?v=c3rabmgy_Hc,Expo Hall A,B21,A
C1182,Poster,Predictive Power of Pupil Dynamics in a Team Based Virtual Reality Task,Yinuo Qin: Laboratory for Intelligent Imaging and Neural Computing&#59; Weijia Zhang: Columbia University&#59; Richard T Lee: Columbia University&#59; Xiaoxiao Sun: Columbia University&#59; Paul Sajda: Columbia University,"In this work, we describe a team-based VR task termed the Apollo Distributed Control Task (ADCT), where individuals, via the single independent degree-of-freedom control and limited environmental views, must work together to guide a virtual spacecraft back to Earth. Focusing on the analysis of pupil dynamics, which have been linked to a number of cognitive and physiological processes such as arousal, cognitive control, and working memory, we find that pupil diameter changes are predictive of multiple task-related dimensions, including the difficulty of the task, the role of the team member, and the type of communication.",https://youtu.be/56Jhy_oH-_o,Expo Hall C,B32,C
