id,session,type,typeoriginal,title,discord-channel,url-ieeevr-explore
C1242,3.6,Conference,,2D versus 3D: A Comparison of Needle Navigation Concepts between Augmented Reality Display Devices, ,
C1244,2.2,Conference,,Research Trends in Virtual Reality Locomotion Techniques, ,
C1262,3.4,Conference,,The Stare-in-the-Crowd Effect in Virtual Reality, ,
C1263,2.1,Conference,,Virtual Reality Observations: Using Virtual Reality to Augment Lab-Based Shoulder Surfing Research, ,
C1264,2.1,Conference,,Can I Borrow Your ATM? Using Virtual Reality for (Simulated) In Situ Authentication Research, ,
C1268,3.4,Conference,,Virtual Humans with Pets and Robots: Exploring the Influence of Social Priming on One's Perception of a Virtual Human, ,
C1273,1.6,Conference,,Continuous Transformation Superposition for Visual Comfort Enhancement of Casual Stereoscopic Photography, ,
C1278,3.4,Conference,,Investigating the Effects of Leader and Follower Behaviors of Virtual Humans in Collaborative Fine Motor Tasks in Virtual Reality, ,
C1279,3.4,Conference,,An Evaluation of Native versus Foreign Communicative Interactions on Users' Behavioral Reactions towards Affective Virtual Crowds, ,
C1289,2.4,Conference,,"Exploring Presence, Avatar Embodiment, and Body Perception with a Holographic Augmented Reality Mirror", ,
C1298,2.7,Conference,,&quot;Let;s Meet and Work It Out&quot;: Understanding and Mitigating Encountered-Type of Haptic Devices Failure Modes in VR, ,
C1300,1.8,Conference,,Reconstructing 3D Virtual Face with Eye Gaze from a Single Image,,
C1302,2.6,Conference,,Effects of Virtual Room Size and Objects on Relative Translation Gain Thresholds in Redirected Walking, ,
C1303,3.3,Conference,,The Potential of Augmented Reality for Digital Twins: A Literature Review, ,
C1309,2.8,Conference,,Real-Time Gaze Tracking with Event-Driven Eye Segmentation, ,
C1314,2.1,Conference,,Combining Real-World Constraints on User Behavior with Deep Neural Networks for Virtual Reality (VR) Biometrics, ,
C1315,2.2,Conference,,ENI: Quantifying Environment Compatibility for Natural Walking in Virtual Reality, ,
C1320,3.8,Conference,,You're in for a Bumpy Ride! Uneven Terrain Increases Cybersickness While Navigating with Head Mounted Displays, ,
C1322,1.9,Conference,,Validating the Benefits of Glanceable and Context-Aware Augmented Reality for Everyday Information Access Tasks, ,
C1328,2.1,Conference,,HoloLogger: Keystroke Inference on Mixed Reality Head Mounted Displays, ,
C1329,3.4,Conference,,"The Effect of Virtual Humans Making Verbal Communication Mistakes on Learner's Perspective of their Credibility, Reliability, and Trustworthiness", ,
C1336,2.6,Conference,,RedirectedDoors: Redirection While Opening Doors in Virtual Reality, ,
C1341,2.3,Conference,,Simulating Olfactory Cocktail Party Effect in VR: A Multi-odor Display Approach Based on Attention, ,
C1361,1.8,Conference,,Interactive Mixed Reality Rendering on Holographic Pyramid, ,
C1368,3.7,Conference,,Eye Tracking-based LSTM for Locomotion Prediction in VR, ,
C1374,3.6,Conference,,Supporting Playful Rehabilitation in the Home using Virtual Reality Headsets and Force Feedback Gloves, ,
C1378,3.6,Conference,,Evaluating Perceptional Tasks for Medicine: A Comparative User Study Between a Virtual Reality and a Desktop Application, ,
C1386,3.7,Conference,,The Chaotic Behavior of Redirection - Revisiting Simulations in Redirected Walking, ,
C1389,1.6,Conference,,SPAA: Stealthy Projector-based Adversarial Attacks on Deep Image Classifiers, ,
C1393,1.1,Conference,,Content Presentation on 3D Augmented Reality Windshield Displays in the Context of Automated Driving, ,
C1396,1.1,Conference,,Sparse Nanophotonic Phased Arrays for Energy-Efficient Holographic Displays, ,
C1401,2.1,Conference,,Temporal Effects in Motion Behavior for Virtual Reality (VR) Biometrics, ,
C1408,1.2,Conference,,An Evaluation of Virtual Reality Maintenance Training for Industrial Hydraulic Machines, ,
C1416,2.8,Conference,,Structured Light of Flickering Patterns Having Different Frequencies for a Projector-Event-Camera System, ,
C1417,1.5,Conference,,A Comparison of Spatial Augmented Reality Predictive Cues and their Effects on Sleep Deprived Users, ,
C1429,3.2,Conference,,TimeTables: Embodied Exploration of Immersive Spatio-Temporal Data, ,
C1432,1.5,Conference,,Distortion-free Mid-air Image Inside Refractive Surface and on Reflective Surface, ,
C1442,3.1,Conference,,Supporting Jury Understanding of Expert Evidence in a Virtual Environment, ,
C1443,2.3,Conference,,Shape Aware Haptic Retargeting for Accurate Hand Interactions, ,
C1450,2.6,Conference,,PseudoJumpOn: Jumping onto Steps in Virtual Reality, ,
C1463,2.6,Conference,,Solitary Jogging with A Virtual Runner using Smartglasses, ,
C1470,2.6,Conference,,Optimal Target Guided Redirected Walking with Pose Score Precomputation, ,
C1471,1.6,Conference,,360 Depth Estimation in the Wild - the Depth360 Dataset and the SegFuse Network, ,
C1473,1.4,Conference,,Virtual Workspace Positioning Techniques during Teleportation for Co-located Collaboration in Virtual Reality using HMDs,,
C1482,3.8,Conference,,Answering With Bow and Arrow: Questionnaires and VR Blend Without Distorting the Outcome, ,
C1486,3.8,Conference,,Systematic Design Space Exploration of Discrete Virtual Rotations in VR, ,
C1492,2.7,Conference,,Exploring Pseudo-Weight in Augmented Reality Extended Displays, ,
C1503,2.4,Conference,,Kicking in Virtual Reality: The Influence of Foot Visibility on the Shooting Experience and Accuracy, ,
C1510,1.7,Conference,,Spatial Updating in Virtual Reality - Auditory and Visual Cues in a Cave Automatic Virtual Environment, ,
C1512,3.7,Conference,,How to Take a Brake from Embodied Locomotion - Seamless Status Control Methods for Seated Leaning Interfaces, ,
C1525,3.5,Conference,,All Shook Up: The Impact of Floor Vibration in Symmetric and Asymmetric Immersive Multi-user VR Gaming Experiences, ,
C1536,1.1,Conference,,Metameric Varifocal Holograms, ,
C1543,1.8,Conference,,Rectangular Mapping-based Foveated Rendering, ,
C1544,2.1,Conference,,A Keylogging Inference Attack on Air-Tapping Keyboards in Virtual Environments, ,
C1553,1.7,Conference,,Audience Experiences of a Volumetric Virtual Reality Music Video, ,
C1559,3.8,Conference,,Auditory Feedback for Standing Balance Improvement in Virtual Reality, ,
C1568,2.5,Conference,,"Depth Perception in Augmented Reality: The Effects of Display, Shadow, and Position", ,
C1584,1.9,Conference,,User Preference for Navigation Instructions in Mixed Reality, ,
C1594,1.9,Conference,,Tangiball: Foot-Enabled Embodied Tangible Interaction with a Ball in Virtual Reality, ,
C1595,2.2,Conference,,Evaluating the Impact of Limited Physical Space on the Navigation Performance of Two Locomotion Methods in Immersive Virtual Environments, ,
C1602,1.2,Conference,,GazeDock: Gaze-Only Menu Selection in Virtual Reality using Auto-Triggering Peripheral Menu, ,
C1611,1.9,Conference,,Redirecting Desktop Interface Input to Animate Cross Reality Avatars, ,
I1000,1.2,Invited Journal,,OctoPocus in VR: Using a Dynamic Guide for 3D Mid-Air Gestures in Virtual Reality, ,
I1001,1.2,Invited Journal,,EHTask: Recognizing User Tasks from Eye and Head Movements in Immersive Virtual Reality, ,
I1002,1.9,Invited Journal,,UrbanRama: Navigating Cities in Virtual Reality, ,
I1003,1.5,Invited Journal,,HaptoMapping: Visuo-Haptic Augmented Reality by Embedding User-Imperceptible Tactile Display Control Signals in a Projected Image, ,
I1004,1.1,Invited Journal,,Design of a Pupil-Matched Occlusion-Capable Optical See-Through Wearable Display, ,
I1005,1.3,Invited Journal,,Being an Avatar &quot;for Real&quot;: a Survey on Virtual Embodiment in Augmented Reality, ,
I1006,3.1,Invited Journal,,A Wheelchair Locomotion Interface in a VR Disability Simulation Reduces Implicit Bias, ,
I1007,3.2,Invited Journal,,Virtual replicas of real places: Experimental investigations, ,
I1008,3.3,Invited Journal,,The Effect of Exploration Mode and Frame of Reference in Immersive Analytics, ,
I1009,2.3,Invited Journal,,Adaptive Reset Techniques for Haptic Retargeted Interaction, ,
I1010,3.5,Invited Journal,,Shedding Light on Cast Shadows: An Investigation of Perceived Ground Contact in AR and VR, ,
I1011,2.5,Invited Journal,,Multisensory Proximity and Transition Cues for Improving Target Awareness in Narrow Field of View Augmented Reality Displays, ,
I1012,1.8,Invited Journal,,Dynamic Projection Mapping for Robust Sphere Posture Tracking Using Uniform/Biased Circumferential Markers, ,
J1010,1.4,Journal,,SEAR: Scaling Experiences in Multi-user Augmented Reality, ,
J1012,3.3,Journal,,Synthesizing Personalized Construction Safety Training Scenarios for VR Training, ,
J1023,1.6,Journal,,ScanGAN360: A Generative Model of Realistic Scanpaths for 360&#176; Images, ,
J1024,2.5,Journal,,"The Effect of Context Switching, Focal Switching Distance, Binocular and Monocular Viewing, and Transient Focal Blur on Human Performance in Optical See-Through Augmented Reality", ,
J1026,2.6,Journal,,FrictShoes: Providing Multilevel Nonuniform Friction Feedback on Shoes in VR, ,
J1039,2.2,Journal,,Remote research on locomotion interfaces for virtual reality: Replication of lab-based research on the teleporting interface, ,
J1050,1.3,Journal,,Do You Need Another Hand? Investigating Dual Body Representations During Anisomorphic 3D Manipulation, ,
J1072,3.1,Journal,,Mood-Driven Colorization of Virtual Indoor Scenes, ,
J1082,3.3,Journal,,PoVRPoint: Authoring Presentations in Mobile Virtual Reality, ,
J1087,2.3,Journal,,Studying the Effects of Congruence of Auditory and Visual Stimuli on Virtual Reality Experiences, ,
J1089,1.7,Journal,,Comparing Direct and Indirect Methods of Audio Quality Evaluation in Virtual Reality Scenes of Varying Complexity, ,
J1093,1.3,Journal,,The Impact of Embodiment and Avatar Sizing on Personal Space in Immersive Virtual Environments, ,
J1099,2.5,Journal,,Stereopsis Only: Validation of a Monocular Depth Cues Reduced Gamified Virtual Reality with Reaction Time Measurement, ,
J1111,1.8,Journal,,Dynamic Multi-Projection Mapping Based on Parallel Intensity Control, ,
J1129,2.4,Journal,,Augmenting Immersive Telepresence Experience with a Virtual Body, ,
J1131,3.2,Journal,,VirtualCube: An Immersive 3D Video Communication System, ,
J1151,2.8,Journal,,Instant Reality: Gaze-Contingent Perceptual Optimization for 3D Virtual Reality Streaming, ,
J1154,1.6,Journal,,A Virtual Reality Based System for the Screening and Classification of Autism, ,
J1167,3.5,Journal,,Effects of Transparency on Perceived Humanness: Implications for Rendering Skin Tones Using Optical See-Through Displays, ,
J1226,1.4,Journal,,Duplicated Reality for Co-located Augmented Reality Collaboration, ,
J1232,2.8,Journal,,Prepare for Ludicrous Speed: Marker-based Instantaneous Binocular Rolling Shutter Localization, ,
J1239,2.8,Journal,,Robust Tightly-Coupled Visual-Inertial Odometry with Pre-built Maps in High Latency Situations, ,
J1244,1.6,Journal,,Online Projector Deblurring Using a Convolutional Neural Network, ,
J1302,3.8,Journal,,Omnidirectional Galvanic Vestibular Stimulation in Virtual Reality, ,
J1310,3.4,Journal,,The One-Man-Crowd: Single User Generation of Crowd Motions Using Virtual Reality, ,
J1327,1.1,Journal,,Video See-Through Mixed Reality with Focus Cues, ,
J1331,2.4,Journal,,Breaking Plausibility Without Breaking Presence - Evidence For The Multi-Layer Nature Of Plausibility, ,
J1334,2.2,Journal,,Adaptive Redirection: A Context-Aware Redirected Walking Meta-Strategy, ,
J1335,2.2,Journal,,Validating Simulation-Based Evaluation of Redirected Walking Systems, ,
